img_000024.png = [tensor([0.5856], grad_fn=<SelectBackward0>), tensor([0.5386], grad_fn=<SigmoidBackward0>)]
img_000159.png = [tensor([-0.4245], grad_fn=<SelectBackward0>), tensor([0.2930], grad_fn=<SigmoidBackward0>)]
img_000213.png = [tensor([-0.0746], grad_fn=<SelectBackward0>), tensor([0.0167], grad_fn=<SigmoidBackward0>)]
img_000222.png = [tensor([-0.0841], grad_fn=<SelectBackward0>), tensor([0.8553], grad_fn=<SigmoidBackward0>)]
img_000181.png = [tensor([-0.2798], grad_fn=<SelectBackward0>), tensor([0.0270], grad_fn=<SigmoidBackward0>)]
img_000086.png = [tensor([-0.1455], grad_fn=<SelectBackward0>), tensor([0.0643], grad_fn=<SigmoidBackward0>)]
img_000238.png = [tensor([0.2469], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000050.png = [tensor([-0.3009], grad_fn=<SelectBackward0>), tensor([0.9358], grad_fn=<SigmoidBackward0>)]
img_000088.png = [tensor([-0.0520], grad_fn=<SelectBackward0>), tensor([0.9806], grad_fn=<SigmoidBackward0>)]
img_000199.png = [tensor([-0.1257], grad_fn=<SelectBackward0>), tensor([0.0409], grad_fn=<SigmoidBackward0>)]
img_000168.png = [tensor([-0.2919], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000109.png = [tensor([-0.1018], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000012.png = [tensor([-0.1040], grad_fn=<SelectBackward0>), tensor([0.0007], grad_fn=<SigmoidBackward0>)]
img_000138.png = [tensor([-0.0439], grad_fn=<SelectBackward0>), tensor([0.1126], grad_fn=<SigmoidBackward0>)]
img_000178.png = [tensor([-0.2226], grad_fn=<SelectBackward0>), tensor([1.4694e-05], grad_fn=<SigmoidBackward0>)]
img_000063.png = [tensor([-0.2151], grad_fn=<SelectBackward0>), tensor([0.1970], grad_fn=<SigmoidBackward0>)]
img_000126.png = [tensor([0.0381], grad_fn=<SelectBackward0>), tensor([0.7170], grad_fn=<SigmoidBackward0>)]
img_000163.png = [tensor([-0.1664], grad_fn=<SelectBackward0>), tensor([3.8213e-06], grad_fn=<SigmoidBackward0>)]
img_000014.png = [tensor([-0.0980], grad_fn=<SelectBackward0>), tensor([0.0014], grad_fn=<SigmoidBackward0>)]
img_000212.png = [tensor([-0.0796], grad_fn=<SelectBackward0>), tensor([0.0173], grad_fn=<SigmoidBackward0>)]
img_000200.png = [tensor([-0.2245], grad_fn=<SelectBackward0>), tensor([0.0376], grad_fn=<SigmoidBackward0>)]
img_000241.png = [tensor([-0.1539], grad_fn=<SelectBackward0>), tensor([0.9991], grad_fn=<SigmoidBackward0>)]
img_000110.png = [tensor([-0.1659], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000140.png = [tensor([-0.1231], grad_fn=<SelectBackward0>), tensor([0.9986], grad_fn=<SigmoidBackward0>)]
img_000225.png = [tensor([0.2133], grad_fn=<SelectBackward0>), tensor([0.9963], grad_fn=<SigmoidBackward0>)]
img_000236.png = [tensor([0.2890], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000161.png = [tensor([-0.1508], grad_fn=<SelectBackward0>), tensor([0.0251], grad_fn=<SigmoidBackward0>)]
img_000133.png = [tensor([-0.4093], grad_fn=<SelectBackward0>), tensor([0.5761], grad_fn=<SigmoidBackward0>)]
img_000157.png = [tensor([-0.2480], grad_fn=<SelectBackward0>), tensor([0.9164], grad_fn=<SigmoidBackward0>)]
img_000173.png = [tensor([0.1297], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000150.png = [tensor([-1.0116], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000006.png = [tensor([-0.2520], grad_fn=<SelectBackward0>), tensor([0.0001], grad_fn=<SigmoidBackward0>)]
img_000165.png = [tensor([-0.7691], grad_fn=<SelectBackward0>), tensor([0.0125], grad_fn=<SigmoidBackward0>)]
img_000056.png = [tensor([-0.0155], grad_fn=<SelectBackward0>), tensor([0.5417], grad_fn=<SigmoidBackward0>)]
img_000231.png = [tensor([0.9431], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000229.png = [tensor([0.2243], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000146.png = [tensor([0.3884], grad_fn=<SelectBackward0>), tensor([0.9980], grad_fn=<SigmoidBackward0>)]
img_000187.png = [tensor([-0.0913], grad_fn=<SelectBackward0>), tensor([0.0021], grad_fn=<SigmoidBackward0>)]
img_000054.png = [tensor([0.1303], grad_fn=<SelectBackward0>), tensor([0.4608], grad_fn=<SigmoidBackward0>)]
img_000038.png = [tensor([-0.5597], grad_fn=<SelectBackward0>), tensor([0.9065], grad_fn=<SigmoidBackward0>)]
img_000004.png = [tensor([-0.3043], grad_fn=<SelectBackward0>), tensor([0.0003], grad_fn=<SigmoidBackward0>)]
img_000026.png = [tensor([0.2960], grad_fn=<SelectBackward0>), tensor([0.9364], grad_fn=<SigmoidBackward0>)]
