img_000024.png = [tensor([0.1000], grad_fn=<SelectBackward0>), tensor([0.9965], grad_fn=<SigmoidBackward0>)]
img_000159.png = [tensor([-0.2929], grad_fn=<SelectBackward0>), tensor([0.1430], grad_fn=<SigmoidBackward0>)]
img_000213.png = [tensor([0.8123], grad_fn=<SelectBackward0>), tensor([5.6908e-05], grad_fn=<SigmoidBackward0>)]
img_000222.png = [tensor([0.2585], grad_fn=<SelectBackward0>), tensor([2.5024e-12], grad_fn=<SigmoidBackward0>)]
img_000181.png = [tensor([-0.0577], grad_fn=<SelectBackward0>), tensor([0.3355], grad_fn=<SigmoidBackward0>)]
img_000086.png = [tensor([0.1969], grad_fn=<SelectBackward0>), tensor([0.1729], grad_fn=<SigmoidBackward0>)]
img_000238.png = [tensor([-0.0826], grad_fn=<SelectBackward0>), tensor([0.1279], grad_fn=<SigmoidBackward0>)]
img_000050.png = [tensor([-0.2090], grad_fn=<SelectBackward0>), tensor([6.5955e-05], grad_fn=<SigmoidBackward0>)]
img_000088.png = [tensor([-0.1339], grad_fn=<SelectBackward0>), tensor([0.7123], grad_fn=<SigmoidBackward0>)]
img_000199.png = [tensor([0.3206], grad_fn=<SelectBackward0>), tensor([3.5790e-06], grad_fn=<SigmoidBackward0>)]
img_000168.png = [tensor([0.0063], grad_fn=<SelectBackward0>), tensor([0.3585], grad_fn=<SigmoidBackward0>)]
img_000109.png = [tensor([-0.1505], grad_fn=<SelectBackward0>), tensor([0.0877], grad_fn=<SigmoidBackward0>)]
img_000012.png = [tensor([-0.1827], grad_fn=<SelectBackward0>), tensor([0.0048], grad_fn=<SigmoidBackward0>)]
img_000138.png = [tensor([-0.0675], grad_fn=<SelectBackward0>), tensor([0.6205], grad_fn=<SigmoidBackward0>)]
img_000178.png = [tensor([0.6870], grad_fn=<SelectBackward0>), tensor([2.0564e-06], grad_fn=<SigmoidBackward0>)]
img_000063.png = [tensor([-0.3207], grad_fn=<SelectBackward0>), tensor([0.0008], grad_fn=<SigmoidBackward0>)]
img_000126.png = [tensor([-0.0770], grad_fn=<SelectBackward0>), tensor([0.5273], grad_fn=<SigmoidBackward0>)]
img_000163.png = [tensor([-0.3113], grad_fn=<SelectBackward0>), tensor([0.9638], grad_fn=<SigmoidBackward0>)]
img_000014.png = [tensor([-0.5951], grad_fn=<SelectBackward0>), tensor([0.0254], grad_fn=<SigmoidBackward0>)]
img_000212.png = [tensor([0.2066], grad_fn=<SelectBackward0>), tensor([0.7362], grad_fn=<SigmoidBackward0>)]
img_000200.png = [tensor([0.6622], grad_fn=<SelectBackward0>), tensor([0.0302], grad_fn=<SigmoidBackward0>)]
img_000241.png = [tensor([-0.2242], grad_fn=<SelectBackward0>), tensor([0.0034], grad_fn=<SigmoidBackward0>)]
img_000110.png = [tensor([-0.2877], grad_fn=<SelectBackward0>), tensor([0.0701], grad_fn=<SigmoidBackward0>)]
img_000140.png = [tensor([-0.1761], grad_fn=<SelectBackward0>), tensor([0.9447], grad_fn=<SigmoidBackward0>)]
img_000225.png = [tensor([0.8970], grad_fn=<SelectBackward0>), tensor([2.4690e-05], grad_fn=<SigmoidBackward0>)]
img_000236.png = [tensor([-0.2402], grad_fn=<SelectBackward0>), tensor([0.9996], grad_fn=<SigmoidBackward0>)]
img_000161.png = [tensor([-0.2364], grad_fn=<SelectBackward0>), tensor([0.6563], grad_fn=<SigmoidBackward0>)]
img_000133.png = [tensor([0.4031], grad_fn=<SelectBackward0>), tensor([0.0009], grad_fn=<SigmoidBackward0>)]
img_000157.png = [tensor([0.0658], grad_fn=<SelectBackward0>), tensor([0.0131], grad_fn=<SigmoidBackward0>)]
img_000173.png = [tensor([-0.2292], grad_fn=<SelectBackward0>), tensor([0.0027], grad_fn=<SigmoidBackward0>)]
img_000150.png = [tensor([-0.4156], grad_fn=<SelectBackward0>), tensor([0.9367], grad_fn=<SigmoidBackward0>)]
img_000006.png = [tensor([-0.1876], grad_fn=<SelectBackward0>), tensor([0.0249], grad_fn=<SigmoidBackward0>)]
img_000165.png = [tensor([-0.3764], grad_fn=<SelectBackward0>), tensor([0.9992], grad_fn=<SigmoidBackward0>)]
img_000056.png = [tensor([-1.1169], grad_fn=<SelectBackward0>), tensor([0.9999], grad_fn=<SigmoidBackward0>)]
img_000231.png = [tensor([0.1541], grad_fn=<SelectBackward0>), tensor([0.9784], grad_fn=<SigmoidBackward0>)]
img_000229.png = [tensor([-0.0005], grad_fn=<SelectBackward0>), tensor([0.0256], grad_fn=<SigmoidBackward0>)]
img_000146.png = [tensor([-0.0500], grad_fn=<SelectBackward0>), tensor([1.0000], grad_fn=<SigmoidBackward0>)]
img_000187.png = [tensor([-0.4245], grad_fn=<SelectBackward0>), tensor([0.9163], grad_fn=<SigmoidBackward0>)]
img_000054.png = [tensor([-0.9742], grad_fn=<SelectBackward0>), tensor([0.9942], grad_fn=<SigmoidBackward0>)]
img_000038.png = [tensor([-0.3954], grad_fn=<SelectBackward0>), tensor([0.9956], grad_fn=<SigmoidBackward0>)]
img_000004.png = [tensor([-0.2145], grad_fn=<SelectBackward0>), tensor([0.0114], grad_fn=<SigmoidBackward0>)]
img_000026.png = [tensor([-0.2081], grad_fn=<SelectBackward0>), tensor([0.9974], grad_fn=<SigmoidBackward0>)]
img_000145.png = [tensor([-0.2289], grad_fn=<SelectBackward0>), tensor([0.9981], grad_fn=<SigmoidBackward0>)]
img_000245.png = [tensor([0.0179], grad_fn=<SelectBackward0>), tensor([0.0003], grad_fn=<SigmoidBackward0>)]
img_000062.png = [tensor([-0.3954], grad_fn=<SelectBackward0>), tensor([0.0359], grad_fn=<SigmoidBackward0>)]
img_000089.png = [tensor([0.0715], grad_fn=<SelectBackward0>), tensor([0.3604], grad_fn=<SigmoidBackward0>)]
img_000058.png = [tensor([-1.4130], grad_fn=<SelectBackward0>), tensor([0.5676], grad_fn=<SigmoidBackward0>)]
img_000043.png = [tensor([-0.4915], grad_fn=<SelectBackward0>), tensor([0.9973], grad_fn=<SigmoidBackward0>)]
img_000039.png = [tensor([-0.2531], grad_fn=<SelectBackward0>), tensor([0.9353], grad_fn=<SigmoidBackward0>)]
img_000177.png = [tensor([1.1524], grad_fn=<SelectBackward0>), tensor([1.8258e-09], grad_fn=<SigmoidBackward0>)]
img_000070.png = [tensor([-0.2218], grad_fn=<SelectBackward0>), tensor([0.0001], grad_fn=<SigmoidBackward0>)]
